Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2010-05-05,ABBOTINDIA,EQ,924.1,928.8,963.75,911.1,963.75,930.1,925.48,1766.0,163440410000.0,,688.0,0.3896
2010-05-06,ABBOTINDIA,EQ,930.1,980.0,980.0,929.05,954.7,942.45,939.23,1788.0,167934560000.0,,1156.0,0.6465000000000001
2010-05-07,ABBOTINDIA,EQ,942.45,924.15,960.0,915.55,956.0,947.85,945.12,4160.0,393171005000.0,,3544.0,0.8519
2010-05-10,ABBOTINDIA,EQ,947.85,952.1,953.95,923.0,935.0,933.05,929.05,6644.0,617259210000.0,,5492.0,0.8266
2010-05-11,ABBOTINDIA,EQ,933.05,925.55,934.95,925.55,934.9,933.3,927.82,104.0,9649330000.0,,88.0,0.8462000000000001
2010-05-12,ABBOTINDIA,EQ,933.3,935.05,943.75,907.15,935.0,935.95,923.45,2337.0,215809745000.0,,1597.0,0.6834
2010-05-13,ABBOTINDIA,EQ,935.95,930.05,948.0,930.05,947.95,942.45,941.43,309.0,29090285000.0,,282.0,0.9126
2010-05-14,ABBOTINDIA,EQ,942.45,942.5,969.0,942.5,969.0,946.8,949.79,8513.0,808557360000.0,,6739.0,0.7916
2010-05-17,ABBOTINDIA,EQ,946.8,930.0,985.0,928.0,985.0,971.5,967.65,3529.0,341483695000.0,,3232.0,0.9158
2010-05-18,ABBOTINDIA,EQ,971.5,899.0,1165.8,899.0,1121.0,1130.4,1119.27,25341.0,2836341420000.0,,9620.0,0.3796
2010-05-19,ABBOTINDIA,EQ,1130.4,1129.95,1129.95,1056.0,1070.25,1069.9,1096.41,4601.0,504457050000.0,,1856.0,0.4034
2010-05-20,ABBOTINDIA,EQ,1069.9,1100.0,1108.95,1051.5,1055.0,1060.3,1071.74,1550.0,166119055000.0,,480.0,0.3097
2010-05-21,ABBOTINDIA,EQ,1060.3,1020.0,1218.0,1010.0,1082.8,1095.8,1137.54,414100.0,47105605895000.0,,24818.0,0.0599
2010-05-24,ABBOTINDIA,EQ,1095.8,1109.4,1109.4,1045.0,1055.0,1065.0,1074.33,45171.0,4852866825000.0,,4793.0,0.1061
2010-05-25,ABBOTINDIA,EQ,1065.0,1064.0,1119.0,1025.0,1025.0,1029.85,1082.1,63400.0,6860487770000.0,,6865.0,0.1083
2010-05-26,ABBOTINDIA,EQ,1029.85,1043.0,1089.0,1025.0,1026.0,1037.5,1054.58,19015.0,2005277420000.0,,3060.0,0.1609
2010-05-27,ABBOTINDIA,EQ,1037.5,1020.0,1050.0,1020.0,1025.0,1028.0,1036.16,8698.0,901254180000.0,,2268.0,0.2607
2010-05-28,ABBOTINDIA,EQ,1028.0,1060.0,1060.0,1010.05,1026.7,1025.35,1030.71,13945.0,1437319605000.0,,8431.0,0.6046
2010-05-31,ABBOTINDIA,EQ,1025.35,1028.0,1035.5,1005.0,1018.0,1016.55,1020.99,7192.0,734295120000.0,,2372.0,0.3298
